H/V,320,368,416,464,512,560,608,656,704,752,800
400,0,19.7591,43.2266,68.8078,96.2236,127.109,164.055,214.19,310.155,0,0
1010,93.8462,122,141.759,165.227,190.808,218.224,249.109,286.055,336.19,1233.64,0
1620,190.587,215.846,244,263.759,287.227,312.808,340.224,371.109,408.055,802.069,0
2230,290.232,312.587,337.846,366,385.759,409.227,434.808,462.224,493.109,725.171,0
2840,392.425,412.232,434.587,459.846,488,507.759,531.227,556.808,584.224,615.109,0
3450,497.041,514.425,534.232,556.587,581.846,610,629.759,653.227,678.808,706.224,0
4060,604.355,619.041,636.425,656.232,678.587,703.846,732,751.759,775.227,800.808,1442.05
4670,714.251,726.355,741.041,758.425,778.232,800.587,825.846,854,873.759,897.227,1184.13
5280,826.633,836.251,848.355,863.041,880.425,900.232,922.587,947.846,976,995.759,1019.23
5890,941.634,946.83,958.251,970.355,985.041,1002.43,1022.23,1044.59,1069.85,1098,1117.76
6500,1059.28,1059.36,1068.83,1080.25,1092.36,1107.04,1124.43,1144.23,1166.59,1191.85,1220
