Point,H_m,V_kmh,Maneuver,Segment_time_s,Segment_fuel_kg
1,400,320,START,0,0
2,400,368,RAZGON,14.5333,62.271
3,400,416,RAZGON,16.3957,70.951
4,400,464,RAZGON,17.325,75.7122
5,400,512,RAZGON,18.066,79.7222
6,400,560,RAZGON,19.4249,86.5485
7,1010,560,PODIEM,61,265.803
8,1620,560,PODIEM,63.0842,262.212
9,2230,560,PODIEM,65.7775,261.935
10,2840,560,PODIEM,68.3105,261.197
11,2840,608,RAZGON,25.5449,96.2319
12,3450,608,PODIEM,71.4267,265.724
13,4060,608,PODIEM,73.9847,265.017
14,4670,608,PODIEM,76.6007,264.329
15,5280,608,PODIEM,79.3643,263.897
16,5280,656,RAZGON,32.337,106.389
17,5280,704,RAZGON,35.853,119.816
18,5890,752,RAZGON_PODIEM,122,406.55
19,6500,800,RAZGON_PODIEM,122,398.021
